Unnamed: 0,patient,node,x_coord,y_coord,tumor,slide,center,split
91343,62,2,18176,20544,1,32,3,0
56490,51,2,32512,11872,1,28,2,0
234656,4,4,16992,20064,0,0,0,0
100829,73,1,4672,39392,1,38,3,0
247864,10,4,16896,18816,0,2,0,1
26901,17,2,10560,21088,1,8,0,0
183048,96,0,21312,7520,1,48,4,0
343898,64,0,14688,32480,0,33,3,0
211715,96,0,35552,5472,1,48,4,0
300619,41,0,19872,7008,0,21,2,0
411620,80,1,2944,9280,0,40,4,0
120200,73,1,1344,42688,1,38,3,0
159286,92,1,33664,17600,1,47,4,0
71923,51,2,20576,18976,1,28,2,0
176979,96,0,34464,8992,1,48,4,0
374479,60,3,17024,40128,0,30,3,0
73624,51,2,19296,20128,1,28,2,0
15857,15,1,8384,37536,1,4,0,0
431736,80,1,4192,10272,0,40,4,0
349934,75,4,5152,39808,0,39,3,0
68078,51,2,29408,14880,1,28,2,1
214893,96,0,32704,10688,1,48,4,0
82396,51,2,30272,13728,1,28,2,1
105715,73,1,9024,41120,1,38,3,0
444230,99,4,3744,17280,0,49,4,0
146241,75,4,9440,39872,1,39,3,0
236496,4,4,9408,26912,0,0,0,0
115385,73,1,15808,18080,1,38,3,0
47792,42,3,9376,16224,1,22,2,0
188543,96,0,21536,10016,1,48,4,1
21362,17,2,7808,21440,1,8,0,1
145280,75,4,2656,40864,1,39,3,0
10120,12,0,6432,27488,1,3,0,1
172780,96,0,22400,7424,1,48,4,0
424484,81,4,6304,4128,0,41,4,1
269124,20,2,13408,41760,0,10,1,0
364067,64,0,7520,35776,0,33,3,0
406536,92,1,25088,4576,0,47,4,0
228896,4,4,4736,24096,0,0,0,0
190182,96,0,32704,4000,1,48,4,0
66439,51,2,30816,14368,1,28,2,0
128060,73,1,3584,42272,1,38,3,0
36037,22,4,16480,42560,1,13,1,0
10817,12,0,5472,25920,1,3,0,0
374222,60,3,14912,42624,0,30,3,0
269428,22,4,13056,47200,0,13,1,0
263819,20,4,8832,28448,0,11,1,0
63511,51,2,20608,18752,1,28,2,0
275575,51,2,33632,11296,0,28,2,0
351233,64,0,15968,33568,0,33,3,1
428199,80,1,6944,10656,0,40,4,0
208282,96,0,39648,8128,1,48,4,1
250950,16,1,7584,26912,0,6,0,0
377203,73,1,20864,18592,0,38,3,0
260125,38,2,10528,37920,0,18,1,1
428120,96,0,34912,12704,0,48,4,0
10434,12,0,6400,25728,1,3,0,0
180408,96,0,35232,3808,1,48,4,1
244322,9,1,16096,39264,0,1,0,0
32677,20,4,15872,30816,1,11,1,0
152255,75,4,17344,18560,1,39,3,0
305229,51,2,16032,7200,0,28,2,0
100697,73,1,2496,44032,1,38,3,1
33218,21,3,12960,16000,1,12,1,0
277075,41,0,10848,22560,0,21,2,0
49846,42,3,9952,15872,1,22,2,0
389847,92,1,26400,7200,0,47,4,0
240866,10,4,5376,19680,0,2,0,0
6375,12,0,6400,25440,1,3,0,0
7327,12,0,6144,25920,1,3,0,0
6925,12,0,5888,26304,1,3,0,0
388874,87,0,5280,7712,0,44,4,0
33504,22,4,12320,16224,1,13,1,0
448746,99,4,8800,14848,0,49,4,0
163921,96,0,34816,6304,1,48,4,0
168984,96,0,26688,7648,1,48,4,0
56322,51,2,18816,17728,1,28,2,1
155523,92,1,31168,18656,1,47,4,0
252362,12,0,18208,26944,0,3,0,0
65264,51,2,19264,20160,1,28,2,1
136205,73,1,3424,41088,1,38,3,0
287033,42,3,21664,10432,0,22,2,0
229959,4,4,12640,22464,0,0,0,1
167357,96,0,23424,6144,1,48,4,0
277073,46,3,7936,12224,0,25,2,0
432553,81,4,17056,3744,0,41,4,0
47330,42,3,21888,7232,1,22,2,0
413108,86,4,6400,9440,0,43,4,0
371192,68,1,11776,29632,0,36,3,0
146801,75,4,7584,40160,1,39,3,0
174248,96,0,39296,10048,1,48,4,0
124468,73,1,8448,40896,1,38,3,0
28907,17,2,12992,37568,1,8,0,0
132583,73,1,7936,41152,1,38,3,0
403530,89,3,26272,2656,0,46,4,0
448341,88,1,33344,12288,0,45,4,0
333971,67,4,5056,35776,0,35,3,0
371311,64,0,15584,42592,0,33,3,0
22758,17,2,13728,37088,1,8,0,0
437548,99,4,23840,12992,0,49,4,0
125863,73,1,3552,43552,1,38,3,0
34248,22,4,12448,16128,1,13,1,0
345037,68,1,4960,19744,0,36,3,0
63650,51,2,31808,11520,1,28,2,0
42055,24,1,9216,20224,1,14,1,0
404433,92,1,26656,6816,0,47,4,0
299198,45,1,8896,14944,0,24,2,0
354912,64,0,17568,42816,0,33,3,0
273966,24,2,13440,30304,0,15,1,1
211389,96,0,34592,8256,1,48,4,0
134780,73,1,16960,18720,1,38,3,0
340328,68,1,13120,27424,0,36,3,0
175273,96,0,25216,9088,1,48,4,0
397170,86,4,14592,20512,0,43,4,0
208232,96,0,21120,8544,1,48,4,0
77100,51,2,19776,18048,1,28,2,0
258643,20,4,9888,29248,0,11,1,0
439985,87,0,7680,9856,0,44,4,0
152103,75,4,6560,40064,1,39,3,0
113051,73,1,6528,40960,1,38,3,0
379256,75,4,1568,24384,0,39,3,0
400322,88,1,21152,5856,0,45,4,0
6360,12,0,5088,24704,1,3,0,0
10258,12,0,5056,24704,1,3,0,0
178069,96,0,25568,5280,1,48,4,0
328243,62,2,19840,31232,0,32,3,0
450862,86,0,18976,16608,0,42,4,0
335004,75,4,7264,13728,0,39,3,0
374473,66,2,7776,25792,0,34,3,0
290407,45,1,9696,10144,0,24,2,0
162017,96,0,25184,11648,1,48,4,0
73256,51,2,29920,11840,1,28,2,0
53395,44,4,8320,3584,1,23,2,0
150420,75,4,15840,20032,1,39,3,0
339935,67,4,19360,45152,0,35,3,0
424425,80,1,21472,7552,0,40,4,0
86418,52,1,22112,7360,1,29,2,0
348432,60,3,19584,36960,0,30,3,0
177882,96,0,23904,11232,1,48,4,0
402427,87,0,4128,10528,0,44,4,0
397785,96,0,27584,5760,0,48,4,0
